	verdict	intersection
155	198811.json	['33', '43', '105', '150', '338', '457', '490', '514', '608', '675', '740', '789', '827', '847', '856', '870', '1131', '1310', '1349', '1385']
156	198812.json	['398', '591', '659', '724', '797', '979', '1003', '1109', '1253']
157	198813.json	['96', '121', '214', '224', '269', '319', '420', '454', '477', '502', '515', '545', '578', '807', '836', '862', '874', '993', '1026', '1064', '1078', '1114', '1126', '1136', '1143', '1153', '1154', '1159', '1161', '1173', '1180', '1186', '1200', '1207', '1220', '1246', '1285', '1335', '1338', '1366', '1367', '1376', '1378']
158	198814.json	['14', '15', '158', '266', '400', '448', '451', '470', '497', '704', '882', '885', '964', '1056', '1158', '1170', '1286', '1377']
159	198815.json	['86', '92', '154', '591', '673', '705', '797', '818', '946', '952', '979', '1277']
160	198816.json	['158', '236', '266', '279', '345', '448', '470', '489', '494', '541', '577', '704', '859', '885', '906', '953', '1000', '1026', '1046', '1065', '1078', '1154', '1159', '1161', '1286', '1338', '1377']
161	198818.json	['5', '133', '222', '239', '348', '358', '376', '839', '872', '1168']
162	198820.json	['428', '530', '757', '785', '886', '1082', '1350']
163	198822.json	['399', '959', '1030', '1322', '1366']
164	198824.json	['92', '199', '241', '398', '510', '524', '591', '750', '789', '952', '1118', '1131', '1178']
165	198825.json	['96', '112', '121', '126', '214', '224', '269', '319', '437', '454', '477', '515', '545', '561', '563', '576', '578', '584', '784', '791', '807', '826', '836', '837', '1026', '1064', '1078', '1086', '1114', '1126', '1143', '1153', '1159', '1161', '1173', '1186', '1207', '1246', '1285', '1335', '1366', '1393']
166	198826.json	['86', '510', '524', '779', '789', '870', '1231', '1242', '1375']
167	198827.json	['1', '6', '178', '256', '410', '419', '430', '433', '465', '492', '512', '516', '991', '1059', '1231', '1234', '1279', '1311', '1337']
168	198829.json	['15', '438', '616', '680', '694', '714', '728', '893', '953', '964', '1003', '1096', '1158']
169	198830.json	['661']
170	198833.json	['1260']
171	198834.json	['167', '358', '563', '1030', '1232', '1252', '1366']
172	198835.json	['73', '92', '116', '797', '850']
173	198836.json	['5', '133', '222', '376', '839', '980', '1106', '1303']
174	198837.json	['74', '89', '111', '146', '269', '291', '454', '475', '502', '545', '586', '752', '791', '836', '858', '862', '1000', '1035', '1078', '1097', '1120', '1132', '1136', '1143', '1144', '1149', '1154', '1161', '1180', '1200', '1220', '1322', '1335', '1338', '1356', '1366', '1367']
175	198838.json	['89', '111', '121', '141', '214', '224', '269', '291', '319', '348', '454', '475', '488', '502', '515', '545', '578', '793', '826', '836', '858', '993', '1026', '1035', '1064', '1078', '1114', '1126', '1136', '1143', '1144', '1154', '1160', '1180', '1186', '1207', '1219', '1220', '1246', '1285', '1335', '1338', '1367']
176	198841.json	['44', '362', '530', '886']
177	198842.json	['86', '92', '241', '398', '591', '702', '797', '850', '979', '1033', '1082', '1277', '1348']
178	198843.json	['34', '150', '160', '191', '338', '343', '481', '692', '1028']
179	198844.json	['3', '10', '31', '35', '54', '57', '125', '180', '188', '275', '324', '354', '416', '611', '735', '938', '978', '1050', '1068', '1095', '1185', '1197', '1313', '1355', '1381']
180	198845.json	['19', '23', '167', '404', '428', '484', '530', '607', '965', '1213', '1255', '1322']
181	198847.json	['6', '243', '256', '510', '524', '770', '779', '946', '952', '991', '1155', '1337']
182	198848.json	['48', '92', '241', '398', '510', '530', '591', '666', '702', '705', '770', '797', '871', '897', '979', '1007', '1082', '1221', '1226', '1277', '1388']
183	198849.json	['343', '779', '968']
184	198850.json	['18', '235', '530', '666', '724', '741', '770', '797', '979', '1019', '1082', '1277']
185	198852.json	['69', '225', '300', '348', '538', '563', '578', '585', '768', '781', '830', '839', '863', '880', '925', '985', '987', '1021', '1035', '1064', '1077', '1078', '1101', '1114', '1120', '1203', '1322']
186	198853.json	['203', '448', '489', '506', '616', '691', '788', '885', '906', '953', '964', '1026', '1158', '1159', '1161', '1286', '1338', '1377']
187	198854.json	['150', '343', '514', '779', '789', '968', '1277']
188	198855.json	['6', '178', '256', '410', '430', '500', '779', '785', '886', '991', '1059']
189	198856.json	['211', '310', '682', '684', '692', '693', '855', '962', '997', '1014', '1130', '1137', '1270', '1299']
190	198859.json	['48', '86', '92', '241', '447', '478', '662', '733', '779', '979', '1007', '1226', '1277', '1330']
191	198860.json	['6', '44', '218', '243', '410', '478', '507', '550', '695', '770', '991', '1059', '1179', '1330', '1337']
192	198863.json	['14', '15', '236', '448', '450', '451', '494', '497', '610', '616', '704', '882', '885', '953', '964', '1056', '1156', '1158', '1167', '1377']
193	198864.json	['15', '147', '158', '236', '417', '438', '694', '696', '714', '788', '953', '964', '1056', '1096', '1119', '1158', '1377']
194	198865.json	['165', '345', '349', '400', '417', '454', '463', '489', '506', '541', '542', '616', '637', '646', '647', '676', '714', '717', '730', '767', '788', '857', '885', '893', '906', '999', '1000', '1026', '1051', '1126', '1162', '1163', '1214', '1324', '1338', '1352', '1376', '1378', '1393']
195	198866.json	['48', '92', '154', '398', '510', '524', '591', '702', '705', '797', '818', '850', '979', '983', '1082', '1109', '1155', '1277']
196	198867.json	['370', '372', '373', '374', '375', '376', '377', '378', '379', '380', '381', '434', '435', '436', '437', '438', '439', '440', '441', '442', '443', '444', '445', '446', '447', '448', '449', '450', '451', '452', '453', '454', '455', '456', '457', '458', '459', '460', '461', '462', '463', '464', '465', '466', '467', '468', '469', '470', '471', '472', '473', '474', '475', '476', '477', '478', '479', '480', '481', '482', '483', '484', '485', '486', '487', '488', '489', '490', '491', '492', '493', '494', '495', '496', '497', '498', '499', '500', '501', '502', '503', '504', '505', '506', '507', '508', '509', '510', '511', '512', '513', '514', '515', '516', '517', '518', '519', '520']
197	198868.json	['0', '126', '1338']
198	198869.json	['0', '704']
199	198870.json	['591', '797', '979', '996', '1007', '1033', '1041']
200	198871.json	['111', '144', '146', '182', '225', '239', '291', '300', '348', '358', '399', '475', '633', '744', '768', '814', '858', '925', '1035', '1078', '1101', '1120', '1144', '1160', '1180', '1203']
201	198872.json	['178', '757', '779', '785', '796', '1059']
202	198873.json	['92', '154', '428', '478', '530', '815', '945', '1082', '1085']
203	198874.json	['26', '44', '218', '428', '500', '522', '530', '591', '705', '724', '779', '1082', '1197']
204	198875.json	['37', '236', '266', '345', '400', '408', '463', '470', '494', '541', '610', '637', '767', '806', '859', '1046', '1056', '1196']
205	198876.json	['638', '1351']
206	198877.json	['86', '92', '109', '429', '478', '510', '641', '662', '702', '733', '815', '1007', '1093', '1155', '1319', '1330']
207	198878.json	['86', '241', '514', '741', '760', '779', '789', '946', '1226', '1277', '1330', '1375']
208	198879.json	['144', '167', '226', '358', '468', '479', '590', '601', '616', '714', '781', '866', '893', '939', '953', '987', '999', '1021', '1077', '1342', '1359', '1378']
209	198880.json	['48', '86', '92', '109', '154', '155', '241', '510', '524', '537', '641', '702', '733', '818', '850', '946', '979', '1007', '1082', '1093', '1155', '1319']
210	198881.json	['34', '724', '797', '946', '990', '1385']
211	198882.json	['48', '92', '154', '241', '411', '510', '591', '702', '705', '733', '797', '831', '979', '1007', '1082', '1364']
212	198883.json	['182', '433', '484', '843', '886', '918']
213	198884.json	['15', '417', '494', '616', '646', '694', '906', '953', '1046', '1158']
214	198885.json	['218', '430', '500', '743', '785', '1250', '1350']
215	198886.json	['168', '178', '256', '410', '439', '513', '785', '1059']
216	198887.json	['86', '157', '510', '524', '616', '733', '818', '1119', '1155']
217	198888.json	['73', '86', '92', '367', '411', '511', '543', '671', '736', '797', '850', '996', '1109', '1141', '1181', '1248', '1319']
